id,index,text,target,BERT-2e359f0b,LSTM-GloVe-8b7db91c,LSTM_DROPOUT-GloVe-8b7db91c,BI_LSTM-GloVe-8b7db91c,LSTM_CNN-GloVe-8b7db91c,FASTTEXT-GloVe-8b7db91c,RCNN-GloVe-71bd09db,CNN-GloVe-d3cc3c6e,RNN-GloVe-7bc816a1,GRU-GloVe-8b7db91c,HAN-GloVe-a85c8435,LSTM-71bd09db,LSTM_DROPOUT-d3cc3c6e,BI_LSTM-8b7db91c,LSTM_CNN-8b7db91c,FASTTEXT-b054e509,RCNN-7bc816a1,CNN-b054e509,RNN-1258a9d2,GRU-b054e509,HAN-a85c8435,RIDGE-2e359f0b,SVC-4c2e484d,LOGISTIC_REGRESSION-8b7db91c,SGD-2e359f0b,DECISION_TREE-7bc816a1,RANDOM_FOREST-60314ef9
13,192,when you don't know which way an ambulance is coming from &lt;&lt;,1,0.11470799999999999,0.088598,0.059137,0.124422,0.07484199999999999,0.115444,0.091394,0.25814000000000004,0.11201400000000002,0.040522,0.036497,0.258828,0.10448099999999999,0.022419,0.029317000000000003,0.184327,0.058935,0.139746,0.08165399999999999,0.043274,0.21772399999999997,0,0,0,0,0,0
95,1140,US wont upgrade its infrastructure? http://t.co/NGEHhG9YGa' it a bad situation and its going to get ugly very quickly #USA #sustainability,1,0.24039000000000002,0.179798,0.10655099999999999,0.075671,0.09662000000000001,0.227964,0.251254,0.073516,0.084219,0.029481,0.053530999999999995,0.080247,0.137264,0.164963,0.067588,0.147044,0.10574000000000001,0.15265499999999999,0.196787,0.030317,0.08017,0,0,0,0,0,0
158,1733,@brianroemmele UX fail of EMV - people want to insert and remove quickly like a gas pump stripe reader. 1 person told me it crashed the POS,1,0.073325,0.339525,0.072737,0.2305,0.24902800000000003,0.09,0.15096700000000002,0.22684899999999997,0.12819,0.061153,0.221798,0.113401,0.253281,0.11492000000000001,0.066068,0.127868,0.148401,0.328656,0.123189,0.023109,0.027673000000000003,0,0,0,0,0,0
190,2019,Bigamist and his Û÷firstÛª wife are charged in the deaths of his Û÷secondÛª pregnant wife her child 8 her mother her nephew 1 and their uÛ_,0,0.805854,0.665072,0.5187430000000001,0.581966,0.794836,0.728866,0.696217,0.559236,0.751975,0.6378699999999999,0.548709,0.820945,0.747779,0.885617,0.970723,0.9461579999999999,0.978485,0.8760610000000001,0.872079,0.980909,0.9597549999999999,1,1,1,1,1,1
302,3098,Lucas Duda is Ghost Rider. Not the Nic Cage version but an actual 'engulfed in flames' badass. #Mets,1,0.012057,0.057357000000000005,0.065069,0.102524,0.050256999999999996,0.095391,0.042741,0.19893,0.085506,0.207587,0.068912,0.101698,0.301198,0.120827,0.041707,0.195665,0.11360999999999999,0.136798,0.148348,0.080712,0.207629,0,0,0,0,0,0
358,3657,@gilderoy i wish i was good enough to add flames to my nails im on fire,1,0.009058,0.18806099999999998,0.053874,0.219484,0.057448,0.10880799999999999,0.051566999999999995,0.077763,0.203023,0.088545,0.20567399999999997,0.103905,0.057798,0.049684,0.14741700000000002,0.079627,0.139711,0.09094400000000001,0.155521,0.015951,0.03573,0,0,0,0,0,0
363,3673,@selmoooooo @_edvinnn @imTariik @dzafic_haris selmo u not catching flames from me  im just gonna be witnessing the slaughter,1,0.22391999999999998,0.242563,0.122386,0.277725,0.20489200000000002,0.124581,0.174324,0.117531,0.265416,0.106949,0.127575,0.07610900000000001,0.057354999999999996,0.026069,0.059351,0.026093,0.051692999999999996,0.019481000000000002,0.14016099999999998,0.008592,0.022149000000000002,0,0,0,0,0,0
382,3871,All Hail Shadow (Hybrid Mix Feat. Mike Szuter): http://t.co/9e2f7bIvlE @youtube ##youtube,1,0.015256,0.023607,0.007984,0.033894,0.01241,0.020908000000000003,0.011443,0.006834999999999999,0.017523,0.035168,0.010669,0.062233000000000004,0.101224,0.097828,0.053537,0.092475,0.032815,0.156401,0.097192,0.025057,0.028714999999999997,0,0,0,0,0,0
445,4552,Nearly had a heart attack just now; loud bang against window next to meÛ_turns out it was two birds flying into the glass.,1,0.161387,0.143174,0.11305,0.09204,0.026026,0.208765,0.126942,0.17626,0.196761,0.151818,0.090778,0.467949,0.183739,0.06017,0.030199,0.22962399999999997,0.032565,0.13029200000000002,0.053032,0.43039799999999995,0.08872000000000001,0,0,0,0,0,0
584,5861,Reasons I should have gone to Warped today: tony played issues showed up sleeping w sirens played attila is there issues issues issues,1,0.044244,0.150162,0.078193,0.06737,0.195497,0.055192,0.23324699999999998,0.05641,0.026543,0.025209,0.085466,0.070162,0.127394,0.37954299999999996,0.150036,0.126304,0.074378,0.36961700000000003,0.133243,0.016338,0.11563699999999999,0,0,0,0,0,0
638,6356,@OriginalFunko @Spencers THUNDER BUDDYS!!!! THUNDER BUDDYS!!!!,1,0.029673,0.022716,0.056173,0.078222,0.016444999999999998,0.025468,0.063457,0.032522,0.026529,0.031511000000000004,0.201734,0.089662,0.067856,0.047327999999999995,0.069781,0.044525,0.47754399999999997,0.016727000000000002,0.236761,0.09175,0.145594,0,0,0,0,0,0
751,7441,#People #Tilly the #Confused Cat Overcomes Horrible Attack to Win Hearts http://t.co/QtrsYxFzo3,1,0.014778,0.095708,0.10656700000000001,0.21886,0.17802300000000001,0.148978,0.029006,0.208682,0.106922,0.138532,0.099799,0.103317,0.174381,0.316121,0.044035000000000005,0.259362,0.11878299999999999,0.068738,0.44367,0.027735000000000003,0.120081,0,0,0,0,0,0
752,7442,To love you love you love you ...  Massive Attack - Angel (HD) https://t.co/9TW34Gffox vÌ_a @YouTube,1,0.067414,0.011116,0.0037090000000000005,0.011233,0.010736,0.001716,0.007026999999999999,0.007458,0.005031,0.0075840000000000005,0.007090000000000001,0.023791,0.038912999999999996,0.031967,0.029369,0.008814,0.049988,0.009256,0.050277999999999996,0.007123,0.003052,0,0,0,0,0,0
912,9156,Man Hears a Loud 'Bang' Finds a Newborn Baby in a Dumpster http://t.co/W815ol0mBV via @ijreview,1,0.264133,0.02305,0.014416,0.040137,0.059229,0.062107,0.015371000000000001,0.09828300000000001,0.096568,0.037845,0.09602000000000001,0.079773,0.111311,0.045479,0.044193,0.23656300000000002,0.054855999999999995,0.22441999999999998,0.083928,0.024579,0.079624,0,0,0,0,0,0
941,9446,Now Trending in Nigeria: Police charge traditional ruler others with informantÛªs  murder http://t.co/DQhpm4A5qY,0,0.782525,0.7754989999999999,0.723785,0.779122,0.840508,0.68106,0.934476,0.770411,0.805855,0.760061,0.626204,0.95526,0.895515,0.96352,0.9713809999999999,0.961441,0.9485129999999999,0.959442,0.9128719999999999,0.989416,0.976941,1,1,1,1,1,1
968,9746,Hear the Sirens ?,1,0.258993,0.047224,0.032838,0.0619,0.083752,0.048972,0.059546,0.07512,0.060822,0.037064,0.024501,0.058740999999999995,0.052697,0.031307999999999996,0.044617000000000004,0.133882,0.076927,0.051490999999999995,0.15320999999999999,0.05903200000000001,0.315712,0,0,0,0,0,0
971,9766,Tess was almost born in a snowstorm. I was 39 years ago. Here's her birth story. http://t.co/UnyuRR8baw #VBAC #NaturalBirth,0,0.5076430000000001,0.9426620000000001,0.952895,0.935084,0.9546209999999999,0.8390620000000001,0.9189200000000001,0.7256739999999999,0.907217,0.946735,0.934147,0.9601129999999999,0.9583860000000001,0.898876,0.8593930000000001,0.979591,0.786891,0.865345,0.883758,0.984605,0.9632290000000001,1,1,1,1,1,1
1132,968,@FoxNews @JenGriffinFNC When you call to report dangerous activity tell em to have body bags on arrival.,1,0.26095,0.08179,0.13997300000000001,0.08126599999999999,0.040096,0.190554,0.292903,0.121465,0.117127,0.043768,0.055937,0.070379,0.0718,0.028331,0.034175,0.025829,0.021748,0.079613,0.036039,0.059323,0.067349,0,0,0,0,0,0
1162,1250,ÛÓ bulletproof and black like a funeral; the world around us is burning but we're so cold. http://t.co/uqssnAAtTu,1,0.363725,0.085025,0.21063800000000002,0.183386,0.24504,0.159629,0.087911,0.156998,0.153158,0.20205,0.041446,0.041446,0.058489,0.044095,0.163368,0.21035700000000002,0.060051,0.222706,0.051891999999999994,0.083009,0.045107,0,0,0,0,0,0
1178,1354,@AlcoholAndMetal + do anything to fix that. Of the few people he had every trusted in his life Charles was one of the casualties.,1,0.116225,0.089277,0.126117,0.075123,0.099376,0.075021,0.34907,0.308332,0.115355,0.085962,0.36402199999999996,0.325813,0.21327100000000002,0.044393,0.048942,0.46205,0.063595,0.24142199999999997,0.04648,0.135069,0.173678,0,0,0,0,0,0
1290,2594,'Er indoors will be devastated. RIP Arfur. #GeorgeCole,1,0.039142,0.20625500000000002,0.13382,0.14334000000000002,0.095345,0.238934,0.313623,0.381357,0.213977,0.288039,0.09533,0.022015,0.046083,0.10620299999999999,0.078809,0.053226,0.257538,0.039512,0.048362999999999996,0.054965999999999994,0.229785,0,0,0,0,0,0
1457,4207,Who is Tomislav Salopek the Islamic State's Most Recent Hostage? - http://t.co/wiQJERUktF,0,0.9363049999999999,0.887598,0.612344,0.907768,0.842968,0.881024,0.821371,0.679652,0.698295,0.909106,0.686397,0.920957,0.9512879999999999,0.917734,0.984474,0.8797780000000001,0.968268,0.973082,0.940947,0.916689,0.930119,1,1,1,1,1,1
1650,5982,TodayÛªs storm will pass; let tomorrowÛªs light greet you with a kiss. Bask in this loving warmth; let your soul return to bliss.,1,0.0342,0.133907,0.195109,0.165517,0.33292,0.17616199999999999,0.331464,0.108106,0.133418,0.152083,0.360849,0.13376400000000002,0.147499,0.192194,0.050710000000000005,0.068518,0.063348,0.311919,0.13301300000000002,0.09928200000000001,0.007437,0,0,0,0,0,0
1701,6494,(?EudryLantiqua?) Hollywood Movie About Trapped Miners Released in Chile: 'The 33' Holly... http://t.co/us1DMdXZVb (?EudryLantiqua?),1,0.236389,0.19520099999999999,0.11673900000000001,0.146958,0.043854000000000004,0.223973,0.164241,0.147473,0.231985,0.074773,0.290663,0.209932,0.091292,0.227226,0.09615,0.095312,0.141218,0.079617,0.22477399999999997,0.058913,0.30283699999999997,0,0,0,0,0,0
1712,6586,Strawberries are in big trouble. Scientists race to find solution. http://t.co/MqydXRLae7 http://t.co/EpJjkB4Be9,1,0.33534899999999995,0.041571,0.0525,0.071127,0.042069,0.07799,0.067215,0.47887799999999997,0.051775999999999996,0.040858,0.021098,0.181805,0.180276,0.045383,0.046775,0.22157399999999997,0.025512,0.2765,0.121603,0.150311,0.19914,0,0,0,0,0,0
1759,7006,#Insurance Texas Seeks Comment on Rules for Changes to Windstorm Insurer: The Texas Department of Insurance is...  http://t.co/byvUBg0WyE,1,0.044496,0.173355,0.0070409999999999995,0.090941,0.10401400000000001,0.101018,0.095111,0.076271,0.061717999999999995,0.086879,0.111107,0.019034,0.045114999999999995,0.024513999999999998,0.019457,0.005372,0.017627,0.028464,0.019538,0.036661,0.01051,0,0,0,0,0,0
1950,8955,Biggest security update in history coming up: Google patches Android hijack bug Stagefright http://t.co/LTid39bKBE,1,0.093662,0.144858,0.028335000000000003,0.16354100000000002,0.055111,0.129717,0.141727,0.044502999999999994,0.154582,0.157174,0.101201,0.17108199999999998,0.47057,0.186701,0.331226,0.214908,0.246901,0.353935,0.133102,0.119679,0.308138,0,0,0,0,0,0
